model,cv_r2,test_r2,test_rmse,test_mae
RandomForest,0.8873954964869029,0.9658404319389726,2.451367419441286,1.538267323401587
GradBoost,0.8887203284352789,0.963947856578748,2.5183597495061574,1.6882832593378434
XGBoost,0.8901268805079695,0.9619759350397548,2.5863154611270733,1.7418000048557287
