model,cv_r2_mean,cv_r2_std
XGBoost,0.8848923816430077,0.07585636763285264
GradBoost,0.8829480224697714,0.0777166066680107
RandomForest,0.8790186483436334,0.06489684791818619
ExtraTrees,0.8686460654490057,0.06992479134163196
SVR,0.6454587130710662,0.10594697750604438
KNN,0.6158187999583175,0.14628195373014222
Linear,0.5823847180627889,0.20249881912632012
Ridge,0.5773093656621783,0.2038565780884418
