Mix_ID,PCC_%,Age_days,Sample_No,Weight_lb,Avg_Length_in,Avg_Diameter_in,Area_in2,Max_Load_lbf,Max_Stress_psi,Strength_MPa,Water_lbs,Cement_lbs,FineAgg_lbs,CoarseAgg_lbs,PCC_lbs,WaterCement_Ratio,TotalAgg_lbs,FineCoarse_Ratio,TotalMix_lbs,PCC_Fraction,PCC_Cement_Ratio,Cylinder_Volume_in3,Density_lb_per_in3
0% PCC,0,56,2,8.532,8.084,3.993,12.5224268017189,80084.8,6394.45,44.0881807530405,41.024,93.952,109.568,221.408,0.0,0.436648501362398,330.976,0.494869200751554,465.952,0.0,0.0,101.231298265096,0.084282234311143
Normal Concrete,0,56,3,8.2795,7.987,3.916,12.038,75526.2,6270.79,43.2355750665591,56.408,129.184,150.656,304.436,0.0,0.436648501362398,455.092,0.494869200751554,640.684,0.0,0.0,96.1964249213422,0.0860686871343709
0% PCC,0,56,3,8.5235,8.063,3.977,12.4222728279225,80802.719,6503.797,44.8421017784301,41.024,93.952,109.568,221.408,0.0,0.436648501362398,330.976,0.494869200751554,465.952,0.0,0.0,100.160785811539,0.0850981742099916
Normal Concrete,0,90,1,8.1292,8.007,3.999,12.5600882144502,75404.1,5998.19,41.3560642293051,56.408,129.184,150.656,304.436,0.0,0.436648501362398,455.092,0.494869200751554,640.684,0.0,0.0,100.568626333102,0.0808323658819257
0% PCC,0,90,1,8.555,8.106,3.984,12.4660407113741,75196.0,6028.61,41.5658027460669,41.024,93.952,109.568,221.408,0.0,0.436648501362398,330.976,0.494869200751554,465.952,0.0,0.0,101.049726006399,0.084661288437915
Normal Concrete,0,90,2,8.3014,8.095,4.006,12.6040980005361,76312.3,6052.85,41.7329316627765,56.408,129.184,150.656,304.436,0.0,0.436648501362398,455.092,0.494869200751554,640.684,0.0,0.0,102.03017331434,0.0813622062017341
0% PCC,0,90,2,8.6235,8.092,4.026,12.7302643615043,94325.9,7409.1,51.083946237339,41.024,93.952,109.568,221.408,0.0,0.436648501362398,330.976,0.494869200751554,465.952,0.0,0.0,103.013299213293,0.0837124921331248
Normal Concrete,0,90,3,8.292,7.99,4.0,12.5663706143592,75514.4,6008.18,41.4249428546322,56.408,129.184,150.656,304.436,0.0,0.436648501362398,455.092,0.494869200751554,640.684,0.0,0.0,100.40530120873,0.0825852808584478
0% PCC,0,90,3,8.49,8.125,3.997,12.5475281270211,95771.7,7632.72,52.6257518625288,41.024,93.952,109.568,221.408,0.0,0.436648501362398,330.976,0.494869200751554,465.952,0.0,0.0,101.948666032047,0.0832772053862015
5% PCC,5,1,1,8.538,8.112,3.9907,12.501,22958.2,1835.2,12.653258578608,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,101.464935911766,0.0841472960415075
5% PCC,5,1,2,8.5065,8.107,3.999,12.556,26623.0,2118.52,14.6066812140108,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,101.824635154547,0.0835406872520486
5% PCC,5,1,3,8.535,8.075,3.994,12.524,25269.6,2016.37,13.9023817568373,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,101.169250698064,0.0843635782721416
5% PCC,5,7,1,8.6225,8.102,3.998,12.5538073853375,56132.2,4470.47,30.8228056222263,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,101.710947436004,0.0847745519765728
5% PCC,5,7,2,8.5785,8.101,3.9821,12.4541532467862,63232.2,5076.01,34.9978569516129,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,100.891095452215,0.0850273253704836
5% PCC,5,7,3,8.622,8.078,4.003,12.5852272388642,59050.5,4690.91,32.3426859192339,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,101.663465635545,0.0848092276423977
5% PCC,5,28,1,8.568,8.037,3.991,12.5098855638458,65974.6,5272.94,36.3556415047326,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,100.541950276629,0.0852181599464325
5% PCC,5,28,2,8.622,8.132,3.992,12.5161553973842,76427.1,6103.7,42.083530070973,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,101.781375691528,0.0847109792083273
